Model,ROC-AUC,PR-AUC,Threshold,Precision@thr,Recall@thr,F1@thr
Logistic Regression,0.994247161234235,0.6723468526974463,0.5,0.47000983284169123,0.9855670103092784,0.6364846870838882
Random Forest,0.9958127406987838,0.6873889498508814,0.5,0.6652977412731006,0.668041237113402,0.6666666666666666
XGBoost,0.9960251620908267,0.7308001551911407,0.5,0.550056882821388,0.9969072164948454,0.7089442815249267
XGBoost  ★ optimal thr,0.9960251620908267,0.7308001551911407,0.9791826605796814,0.6221098265895953,0.8876288659793814,0.7315208156329651
